event_id,event_start,event_end,duration_hours,wet_hours,total_areal_rainfall_mm,total_localmax_rainfall_mm,peak_areal_hourly_mm,peak_localmax_hourly_mm,duration_class,rainfall_magnitude_class,magnitude_threshold_note,response_lag_hours,window_hours_with_lag,mean_event_quality_score,median_event_quality_score,mean_observed_fraction,mean_max_missing_gap_hours,mean_flat_step_rate,mean_diff_spike_rate,low_dynamic_sensor_fraction_1cm,low_dynamic_sensor_fraction_3cm,low_dynamic_sensor_fraction_5cm
E106,2022-02-10 19:00:00,2022-02-11 11:00:00,17,10,0.6125,2.6,0.2125,0.7,long >12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,22.083333333333332,89.94123062557519,92.29267464561583,0.9735181165470028,0.46091445427728617,0.2718986299241141,0.13397913191831276,0.035398230088495575,0.061946902654867256,0.09734513274336283
E108,2022-02-13 03:00:00,2022-02-14 09:00:00,31,29,6.3500000000000005,10.199999999999998,0.8625,1.1,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,36.083333333333336,88.96402068662098,90.71610125531693,0.9627623699646427,0.9410029498525073,0.3091195311805323,0.1138188117557074,0.02654867256637168,0.02654867256637168,0.05309734513274336
E109,2022-02-16 21:00:00,2022-02-17 14:00:00,18,16,3.9125,8.100000000000001,0.9375,1.9,long >12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,23.083333333333332,89.21560811677931,91.30510228865747,0.9662950065493116,0.6910029498525074,0.31298697952566823,0.10705661134291719,0.04424778761061947,0.07964601769911504,0.13274336283185842
E110,2022-02-17 21:00:00,2022-02-23 12:00:00,136,128,65.2875,105.4,4.35,6.0,long >12 h,high Q80-Q95,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,141.08333333333334,88.59453878143684,90.54373294897798,0.9600802889566096,2.4181415929203536,0.2570108907037426,0.15005955659892228,0.02654867256637168,0.02654867256637168,0.02654867256637168
E111,2022-03-05 07:00:00,2022-03-05 15:00:00,9,9,5.350000000000001,11.100000000000001,1.3125,2.7,medium 3-12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,14.083333333333334,88.24350631885183,88.45538215286115,0.969209823532492,0.37610619469026546,0.29149600911967705,0.13221917499526065,0.061946902654867256,0.07079646017699115,0.08849557522123894
E113,2022-03-06 09:00:00,2022-03-06 17:00:00,9,4,0.3125,1.0,0.2375,0.5,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,14.083333333333334,89.82947668013779,92.75500969618616,0.9577944179714091,0.5427728613569323,0.2950124965198779,0.09289041342414973,0.05309734513274336,0.10619469026548672,0.19469026548672566
E114,2022-03-07 14:00:00,2022-03-07 19:00:00,6,4,1.1375,3.2,0.6375000000000001,1.7,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,11.083333333333334,90.5218091946157,93.06510482981072,0.9692594317652538,0.32079646017699115,0.29673598560056763,0.08755030927479494,0.05309734513274336,0.10619469026548672,0.168141592920354
E117,2022-03-15 01:00:00,2022-03-15 08:00:00,8,7,0.5874999999999999,3.8999999999999995,0.15,1.2,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,13.083333333333334,88.28130091609779,89.41176470588236,0.962516205399921,0.4564896755162242,0.33159321085816656,0.09739104672536379,0.07079646017699115,0.1415929203539823,0.19469026548672566
E118,2022-03-17 19:00:00,2022-03-17 22:00:00,4,4,2.9124999999999996,8.2,1.8375,4.5,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,9.083333333333334,88.21596248717914,89.41176470588236,0.9658195989283105,0.30825958702064893,0.3495638328162744,0.08902450140745463,0.07964601769911504,0.1415929203539823,0.23008849557522124
E120,2022-03-21 02:00:00,2022-03-21 09:00:00,8,6,0.525,1.6,0.2625,0.6,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,13.083333333333334,88.76452805624396,89.81900452488688,0.9656727354715067,0.42109144542772864,0.4025738848150958,0.06812109155839799,0.07964601769911504,0.168141592920354,0.2831858407079646
