variant,variant_type,w_coverage,w_continuity,w_stability,w_plausibility,w_temporal_consistency,threshold_A,threshold_B,threshold_C,grade_exact_agreement,grade_adjacent_agreement,quadratic_weighted_kappa,score_spearman_vs_base,scenario_rank_spearman_vs_base,top_failure_same_as_base,bottom_failure_same_as_base,exact_failure_order_same_as_base,failure_order
random_weight_threshold_0040,random_weight_threshold,0.3282120866262334,0.2399760087299033,0.2439973382165549,0.0578875631290113,0.1299270032982969,83.0883172295979,74.70009607877086,64.57833906312452,0.8230088495575221,1.0,0.9215223279394402,0.9979123694191232,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0041,random_weight_threshold,0.2929011291109038,0.1357013411307587,0.3326973668932241,0.0918386750352384,0.1468614878298748,86.57711934331101,76.1500693700931,55.73333134815292,0.7345132743362832,1.0,0.8537406161014756,0.9623810632776632,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0042,random_weight_threshold,0.3717761309068397,0.2340417666445635,0.1664765074447792,0.1153063639614945,0.1123992310423228,86.86496951516875,76.01983428700812,56.13341924966507,0.9026548672566372,1.0,0.9479589700648944,0.9979622729389848,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0043,random_weight_threshold,0.4015932554139568,0.1591801121497643,0.1978731614415167,0.1212916133803648,0.1200618576143971,86.34640118493004,73.01731828621891,60.78453972918564,0.8230088495575221,1.0,0.9115667553607764,0.9975713620334024,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0044,random_weight_threshold,0.3040053070929626,0.233120362697201,0.2266589669047712,0.091418049216163,0.1447973140889021,85.51417461027694,73.73491928154257,67.51704172247459,0.7699115044247787,1.0,0.8976591890762157,0.9992597644553864,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0045,random_weight_threshold,0.295413483518666,0.2964278337624253,0.1844457658021819,0.0768338229544272,0.1468790939622996,84.52836729631017,72.33228118414206,59.10643924698993,0.8230088495575221,1.0,0.9184939411425274,0.99594118038459,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0046,random_weight_threshold,0.3890564309805305,0.1592852250147172,0.1623675345330539,0.1637066727124996,0.1255841367591987,87.77724283564531,75.0454459776922,59.91977050517499,0.7699115044247787,1.0,0.8790448744339234,0.9982949630713956,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0047,random_weight_threshold,0.3823378458141197,0.1838938308747733,0.1943838000993503,0.0821936178317323,0.1571909053800243,87.28554826994724,73.01441185218063,57.26558121087936,0.8141592920353983,1.0,0.9002060641742714,0.9996922616275205,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0048,random_weight_threshold,0.2820834510773715,0.1685810611686468,0.3198537040927508,0.1014104797871681,0.1280713038740627,88.64901130997013,75.33194701010633,54.05004541106339,0.7256637168141593,1.0,0.8424130640154752,0.9735511344733516,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
random_weight_threshold_0049,random_weight_threshold,0.3209417244005755,0.2203601042245637,0.1577261538597995,0.0752071155140444,0.225764902001017,81.76225022327017,75.93192159438735,64.24736226987676,0.6902654867256637,1.0,0.8812347977538212,0.9950845032936324,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
